"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"1431","2023-00095786","suspicious activity","NA","investigation pending","2023-10-24","NA","NA","NA","NA","NA"
"1432","2023-00095796","death investigation","NA","active/pending","2023-10-24","NA","NA","NA","NA","NA"
"1433","2023-00095926","stolen motor vehicle","NA","active/pending","2023-10-24","NA","NA","NA","NA","NA"
"1434","2023-00095943","other incident","NA","active/pending","2023-10-24","NA","NA","NA","NA","NA"
"1435","2023-00096006","injured/sick person","NA","cbe","2023-10-25","NA","NA","NA","NA","NA"
"1436","2023-00096045","vandalism","NA","investigation pending","2023-10-25","NA","NA","NA","NA","NA"
"1437","2023-00096116","theft","NA","active/pending","2023-10-24","NA","NA","NA","NA","NA"
"1438","2023-00096270","vandalism","NA","active/pending","2023-10-25","NA","NA","NA","NA","NA"
"1439","2023-00096314","injured/sick person","NA","cbe","2023-10-25","NA","NA","NA","NA","NA"
"1440","2023-00096385","assist other agency","vandalism","cbe","2023-10-26","NA","NA","NA","NA","NA"
"1441","2023-00096430","assist other agency","other","cbe","2023-10-26","NA","NA","NA","NA","NA"
"1442","2023-00096431","lost property","NA","cbe","2023-10-24","NA","NA","NA","NA","NA"
"1443","2023-00096462","theft","NA","investigation pending","2023-10-25","NA","NA","NA","NA","NA"
"1444","2023-00096516","suspicious activity","NA","active/pending","2023-10-26","NA","NA","NA","NA","NA"
"1445","2023-00096537","extortion","NA","investigation pending","2023-10-24","NA","NA","NA","NA","NA"
"1446","2023-00096613","injured/sick person","NA","cbe","2023-10-26","NA","NA","NA","NA","NA"
"1447","2023-00096645","injured/sick person","NA","cbe","2023-10-27","NA","NA","NA","NA","NA"
"1448","2023-00096812","theft","NA","investigation pending","2003-10-26","NA","NA","NA","NA","NA"
"1449","2023-00096819","other incident","NA","cbe","2023-10-27","NA","NA","NA","NA","NA"
"1450","2023-00096843","assist other agency","check on the welfare","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1451","2023-00096875","dept property damage/loss","NA","cbe","2023-10-26","NA","NA","NA","NA","NA"
"1452","2023-00096963","assist other agency","other","cbe","2023-10-27","NA","NA","NA","NA","NA"
"1453","2023-00096981","injured/sick person","NA","cbe","2023-10-27","NA","NA","NA","NA","NA"
"1454","2023-00096983","dwi/dui","NA","arrest","2023-10-28","23899","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","black","female","2023-10-28"
"1455","2023-00096988","assist other agency","sex offense","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1456","2023-00097025","injured/sick person","NA","cbe","2023-10-28","NA","NA","NA","NA","NA"
"1457","2023-00097121","other incident","NA","active/pending","2023-10-28","NA","NA","NA","NA","NA"
"1458","2023-00097216","check on the  welfare","NA","active/pending","2023-05-31","NA","NA","NA","NA","NA"
"1459","2023-00097260","vandalism","NA","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1460","2023-00097346","injured/sick person","NA","cbe","2023-10-29","NA","NA","NA","NA","NA"
"1461","2023-00097371","dwi/dui","NA","arrest","2023-10-29","23896","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driving veh. in excess of reasonable and prudent speed on hwy.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-10-29"
"1462","2023-00097372","assist other agency","other","active/pending","2023-10-29","NA","NA","NA","NA","NA"
"1463","2023-00097375","other incident","NA","cbe","2023-10-28","NA","NA","NA","NA","NA"
"1464","2023-00097376","injured/sick person","NA","cbe","2023-10-29","NA","NA","NA","NA","NA"
"1465","2023-00097377","injured/sick person","NA","cbe","2023-10-29","NA","NA","NA","NA","NA"
"1466","2023-00097378","injured/sick person","NA","cbe","2023-10-29","NA","NA","NA","NA","NA"
"1467","2023-00097538","vandalism","NA","active/pending","2023-10-29","NA","NA","NA","NA","NA"
"1468","2023-00097539","theft","NA","active/pending","2023-10-28","NA","NA","NA","NA","NA"
"1469","2023-00097658","injured/sick person","NA","cbe","2023-10-29","NA","NA","NA","NA","NA"
"1470","2023-00097811","vandalism","NA","investigation pending","2023-10-27","NA","NA","NA","NA","NA"
"1471","2023-00097835","injured/sick person","NA","cbe","2023-10-30","NA","NA","NA","NA","NA"
"1472","2023-00097839","vandalism","NA","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1473","2023-00097848","vandalism","NA","investigation pending","2023-10-27","NA","NA","NA","NA","NA"
"1474","2023-00097890","theft","NA","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1475","2023-00097976","injured/sick person","NA","cbe","2023-10-30","NA","NA","NA","NA","NA"
"1476","2023-00098048","suspicious activity","NA","cbe","2023-10-30","NA","NA","NA","NA","NA"
"1477","2023-00098085","dwi/dui","NA","arrest","2023-10-31","23901","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-10-31"
"1478","2023-00098089","emergency petition","NA","cbe","2023-10-31","NA","NA","NA","NA","NA"
"1479","2023-00098237","suspicious activity","NA","cbe","2023-10-28","NA","NA","NA","NA","NA"
"1480","2023-00098343","other incident","NA","active/pending","2023-10-27","NA","NA","NA","NA","NA"
"1481","2023-00098370","other incident","NA","active/pending","2023-10-31","NA","NA","NA","NA","NA"
"1482","2023-00098397","injured/sick person","NA","cbe","2023-10-31","NA","NA","NA","NA","NA"
"1483","2023-00098541","emergency petition","NA","cbe","2023-10-31","NA","NA","NA","NA","NA"
"1484","2023-00098648","suspicious person/auto","NA","cbe","2023-11-01","NA","NA","NA","NA","NA"
"1485","2023-00098766","injured/sick person","NA","cbe","2023-11-01","NA","NA","NA","NA","NA"
"1486","2023-00098767","theft","NA","investigation pending","2023-11-01","NA","NA","NA","NA","NA"
"1487","2023-00098783","other incident","NA","active/pending","2023-03-01","NA","NA","NA","NA","NA"
"1488","2023-00098787","assist other agency","burglary","cbe","2023-11-01","NA","NA","NA","NA","NA"
"1489","2023-00098829","vandalism","NA","investigation pending","2023-11-01","NA","NA","NA","NA","NA"
"1490","2023-00098855","vandalism","NA","investigation pending","2023-10-31","NA","NA","NA","NA","NA"
"1491","2023-00098969","check on the  welfare","NA","cbe","2023-11-01","NA","NA","NA","NA","NA"
"1492","2023-00099274","lost property","NA","active/pending","2023-10-26","NA","NA","NA","NA","NA"
"1493","2023-00099300","vandalism","NA","active/pending","2023-11-01","NA","NA","NA","NA","NA"
"1494","2023-00099312","other incident","NA","cbe","2023-11-02","NA","NA","NA","NA","NA"
"1495","2023-00099396","theft","NA","investigation pending","2023-11-01","NA","NA","NA","NA","NA"
"1496","2023-00099398","other incident","NA","active/pending","2023-11-02","NA","NA","NA","NA","NA"
"1497","2023-00099399","other incident","NA","cbe","2023-11-02","NA","NA","NA","NA","NA"
"1498","2023-00099515","assist other agency","other","cbe","2023-11-02","NA","NA","NA","NA","NA"
"1499","2023-00099960","assault","NA","arrest","2023-11-03","23911","Disorderly Conduct; Resist/Interfere with Arrest; School: Disturb Operation","white","male","2023-11-03"
"1500","2023-00099991","emergency petition","NA","cbe","2023-11-03","NA","NA","NA","NA","NA"
"1501","2023-00100001","assist other agency","other","cbe","2023-11-03","NA","NA","NA","NA","NA"
"1502","2023-00100084","assist other agency","theft","cbe","2023-11-03","NA","NA","NA","NA","NA"
"1503","2023-00100088","assist other agency","theft","cbe","2023-11-03","NA","NA","NA","NA","NA"
"1504","2023-00100261","recovered stolen property","NA","arrest","2023-11-03","23905","Theft Less Than $100 Vehicle Part","black","female","2023-11-03"
"1505","2023-00100291","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1506","2023-00100328","other incident","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1507","2023-00100330","theft","NA","active/pending","2023-11-03","NA","NA","NA","NA","NA"
"1508","2023-00100360","assist other agency","other","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1509","2023-00100464","theft","NA","active/pending","2023-10-14","NA","NA","NA","NA","NA"
"1510","2023-00100489","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1511","2023-00100492","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1512","2023-00100506","burglary","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1513","2023-00100559","recovered stolen property","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1514","2023-00100582","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1515","2023-00100587","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1516","2023-00100589","theft","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1517","2023-00100592","injured/sick person","NA","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1518","2023-00100600","theft","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1519","2023-00100607","assist other agency","disorderly conduct","cbe","2023-11-04","NA","NA","NA","NA","NA"
"1520","2023-00100656","vandalism","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1521","2023-00100762","injured/sick person","NA","cbe","2023-11-05","NA","NA","NA","NA","NA"
"1522","2023-00100947","missing person/runaway","NA","unfounded","2023-11-04","NA","NA","NA","NA","NA"
"1523","2023-00101008","theft","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1524","2023-00101020","theft","NA","cbe","2023-10-26","NA","NA","NA","NA","NA"
"1525","2023-00101106","fraud","NA","active/pending","2023-09-18","NA","NA","NA","NA","NA"
"1526","2023-00101340","dwi/dui","NA","arrest","2023-11-06","23900","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","unknown","male","2023-11-06"
"1527","2023-00101440","other incident","NA","cbe","2023-11-03","NA","NA","NA","NA","NA"
"1528","2023-00101518","theft","NA","active/pending","2023-11-04","NA","NA","NA","NA","NA"
"1529","2023-00101530","theft","NA","active/pending","2023-11-03","NA","NA","NA","NA","NA"
"1530","2023-00101557","theft","NA","active/pending","2023-11-03","NA","NA","NA","NA","NA"
"1531","2023-00101752","emergency petition","NA","cbe","2023-11-06","NA","NA","NA","NA","NA"
"1532","2023-00101757","theft","NA","active/pending","2023-09-19","NA","NA","NA","NA","NA"
"1533","2023-00101774","burglary","NA","active/pending","2023-11-06","NA","NA","NA","NA","NA"
"1534","2023-00101793","injured/sick person","NA","cbe","2023-11-06","NA","NA","NA","NA","NA"
"1535","2023-00101999","trespassing","NA","arrest","2023-11-07","23903","School Trespassing On Ground","black","male","2023-11-07"
"1536","2023-00102118","theft","NA","active/pending","2023-11-03","NA","NA","NA","NA","NA"
"1537","2023-00102166","fraud","NA","active/pending","2023-10-20","NA","NA","NA","NA","NA"
"1538","2023-00102207","theft","NA","active/pending","2023-11-02","NA","NA","NA","NA","NA"
"1539","2023-00102228","theft","NA","investigation pending","2023-11-04","NA","NA","NA","NA","NA"
"1540","2023-00102248","theft","NA","investigation pending","2023-10-16","NA","NA","NA","NA","NA"
"1541","2023-00102368","other incident","NA","active/pending","2023-11-07","NA","NA","NA","NA","NA"
"1542","2023-00102385","fire","NA","cbe","2023-11-07","NA","NA","NA","NA","NA"
"1543","2023-00102619","vandalism","NA","investigation pending","2023-11-07","NA","NA","NA","NA","NA"
"1544","2023-00102687","injured/sick person","NA","cbe","2023-11-08","NA","NA","NA","NA","NA"
"1545","2023-00102751","warrant/summons service","NA","arrest","2023-11-08","NA","NA","NA","NA","NA"
"1546","2023-00102756","theft","NA","active/pending","2023-11-03","NA","NA","NA","NA","NA"
"1547","2023-00102765","theft","NA","active/pending","2023-10-20","NA","NA","NA","NA","NA"
"1548","2023-00102776","theft","NA","active/pending","2023-11-08","NA","NA","NA","NA","NA"
"1549","2023-00102842","recovered stolen motor vehicle","NA","arrest","2023-11-08","23904","MOTOR VEHICLE/UNLAWFUL TAKING; THEFT: $25,000 TO UNDER $100,000","black","female","2023-11-08"
"1550","2023-00102903","hate bias incident","NA","active/pending","2023-11-08","NA","NA","NA","NA","NA"
"1551","2023-00103330","injured/sick person","NA","cbe","2023-11-08","NA","NA","NA","NA","NA"
"1552","2023-00103333","stolen motor vehicle","NA","active/pending","2023-11-08","NA","NA","NA","NA","NA"
"1553","2023-00103383","injured/sick person","NA","cbe","2023-11-09","NA","NA","NA","NA","NA"
"1554","2023-00103411","suspicious activity","NA","cbe","2023-11-09","NA","NA","NA","NA","NA"
"1555","2023-00103420","hate bias incident","NA","active/pending","2023-11-09","NA","NA","NA","NA","NA"
"1556","2023-00103441","accident - departmental","NA","cbe","2023-11-09","NA","NA","NA","NA","NA"
"1557","2023-00103455","other incident","NA","cbe","2023-11-09","NA","NA","NA","NA","NA"
"1558","2023-00103628","injured/sick person","NA","cbe","2023-11-09","NA","NA","NA","NA","NA"
"1559","2023-00103704","suspicious activity","NA","active/pending","2023-11-10","NA","NA","NA","NA","NA"
"1560","2023-00103745","dwi/dui","NA","arrest","2023-11-10","23907","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","","","2023-11-10"
"1561","2023-00104068","telephone/email misuse","NA","investigation pending","2023-11-10","NA","NA","NA","NA","NA"
"1562","2023-00104533","injured/sick person","NA","cbe","2023-11-10","NA","NA","NA","NA","NA"
"1563","2023-00104582","emergency petition","NA","cbe","2023-11-11","NA","NA","NA","NA","NA"
"1564","2023-00104587","injured/sick person","NA","cbe","2023-11-11","NA","NA","NA","NA","NA"
"1565","2023-00104590","suspicious activity","NA","cbe","2023-11-10","NA","NA","NA","NA","NA"
"1566","2023-00104601","dwi/dui","NA","arrest","2023-11-11","23906","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","unknown","male","2023-11-11"
"1567","2023-00105262","other incident","NA","cbe","2023-11-12","NA","NA","NA","NA","NA"
"1568","2023-00105275","warrant/summons service","NA","arrest","2023-11-12","NA","NA","NA","NA","NA"
"1569","2023-00105288","assist other agency","assault","cbe","2023-11-12","NA","NA","NA","NA","NA"
"1570","2023-00105871","other incident","NA","active/pending","2023-05-27","NA","NA","NA","NA","NA"
"1571","2023-00106217","damage to state property","NA","active/pending","2023-11-11","NA","NA","NA","NA","NA"
"1572","2023-00106300","injured/sick person","NA","cbe","2023-11-13","NA","NA","NA","NA","NA"
"1573","2023-00106322","injured/sick person","NA","cbe","2023-11-13","NA","NA","NA","NA","NA"
"1574","2023-00106523","theft","NA","active/pending","2023-11-10","NA","NA","NA","NA","NA"
"1575","2023-00106547","theft","NA","active/pending","2023-11-13","NA","NA","NA","NA","NA"
"1576","2023-00106620","other incident","NA","active/pending","2023-11-13","NA","NA","NA","NA","NA"
"1577","2023-00106701","trespassing","NA","active/pending","2023-11-13","NA","NA","NA","NA","NA"
"1578","2023-00106884","suspicious person/auto","NA","cbe","2023-11-14","NA","NA","NA","NA","NA"
"1579","2023-00106924","other incident","NA","active/pending","2023-11-13","NA","NA","NA","NA","NA"
"1580","2023-00106957","injured/sick person","NA","cbe","2023-11-14","NA","NA","NA","NA","NA"
